BJD,RV,e_RV,logR_HK,e_logR_HK
56148.674067,-18.41826,0.00041,-5.0053,0.0008
56150.665671,-18.42148,0.00064,-5.0029,0.0043
56151.724597,-18.41915,0.00041,-4.9963,0.0010
56152.676437,-18.42192,0.00040,-5.0010,0.0007
56153.670563,-18.42087,0.00037,-5.0162,0.0005
56160.647491,-18.41525,0.00041,-5.0278,0.0013
56161.495059,-18.42084,0.00044,-5.0210,0.0018
56162.631545,-18.42090,0.00041,-5.0298,0.0012
56166.569584,-18.41279,0.00039,-5.0369,0.0008
56176.532563,-18.41693,0.00039,-5.0417,0.0006
56177.537576,-18.42006,0.00039,-5.0327,0.0007
56178.524918,-18.41875,0.00040,-5.0304,0.0011
56179.480279,-18.41361,0.00039,-5.0256,0.0007
56180.446642,-18.41522,0.00040,-5.0264,0.0008
56181.480399,-18.41428,0.00042,-5.0200,0.0006
56182.483648,-18.41219,0.00040,-5.0231,0.0009
56183.635518,-18.41720,0.00038,-5.0202,0.0005
56245.489174,-18.42151,0.00041,-4.9993,0.0004
56251.563803,-18.41885,0.00043,-5.0179,0.0008
56252.416727,-18.41960,0.00043,-5.0203,0.0010
56268.416925,-18.41179,0.00041,-5.0201,0.0005
56285.398384,-18.41570,0.00042,-5.0057,0.0008
56482.719248,-18.41749,0.00042,-5.0383,0.0012
56499.733951,-18.41523,0.00039,-5.0282,0.0005
56510.697563,-18.41423,0.00041,-5.0422,0.0006
56527.589405,-18.42398,0.00042,-5.0424,0.0010
56529.559317,-18.41838,0.00039,-5.0311,0.0004
56563.535495,-18.41820,0.00041,-5.0533,0.0006
56569.538077,-18.42023,0.00041,-5.0511,0.0006
56570.460437,-18.42408,0.00040,-5.0524,0.0006
56573.576191,-18.42074,0.00039,-5.0466,0.0004
56604.363127,-18.41951,0.00040,-5.0335,0.0004
56606.334200,-18.41582,0.00048,-5.0460,0.0028
56608.372566,-18.41977,0.00040,-5.0287,0.0004
56611.421013,-18.42207,0.00040,-5.0450,0.0006
56670.318844,-18.42402,0.00041,-5.0238,0.0009
56671.309079,-18.42070,0.00040,-5.0222,0.0006
56672.311374,-18.42296,0.00043,-5.0238,0.0013
56673.319880,-18.42179,0.00045,-5.0246,0.0018
56816.721527,-18.42009,0.00037,-5.0352,0.0006
56830.717537,-18.42095,0.00039,-5.0076,0.0007
56832.715281,-18.41923,0.00039,-5.0102,0.0009
56833.716725,-18.42281,0.00039,-5.0119,0.0010
56834.720635,-18.41858,0.00041,-5.0101,0.0013
56835.722596,-18.41822,0.00042,-5.0133,0.0015
56836.711881,-18.42171,0.00040,-5.0169,0.0009
56846.714925,-18.42174,0.00041,-5.0319,0.0012
56847.711926,-18.41956,0.00037,-5.0338,0.0007
56848.707435,-18.42307,0.00037,-5.0355,0.0008
56850.723373,-18.42048,0.00039,-5.0365,0.0008
56851.723132,-18.42603,0.00038,-5.0378,0.0006
56852.723861,-18.42569,0.00040,-5.0481,0.0011
56853.714373,-18.42510,0.00038,-5.0419,0.0010
56862.664765,-18.42199,0.00037,-5.0349,0.0005
56863.672579,-18.42139,0.00037,-5.0316,0.0005
56864.679379,-18.42497,0.00037,-5.0270,0.0005
56865.660528,-18.42001,0.00037,-5.0169,0.0006
56866.633443,-18.42149,0.00036,-5.0245,0.0007
56883.731389,-18.42111,0.00037,-5.0078,0.0010
56884.737513,-18.41918,0.00037,-5.0085,0.0006
56885.735620,-18.42443,0.00037,-5.0071,0.0006
56886.712534,-18.42572,0.00038,-5.0153,0.0010
56887.754728,-18.41871,0.00047,-5.0005,0.0020
56888.666930,-18.42292,0.00039,-5.0163,0.0011
56889.676346,-18.42322,0.00043,-5.0195,0.0024
56890.621702,-18.41810,0.00038,-5.0215,0.0010
56922.649761,-18.42230,0.00036,-5.0164,0.0005
56923.578359,-18.42310,0.00036,-5.0156,0.0004
56924.607599,-18.42064,0.00036,-5.0093,0.0005
56960.530971,-18.42438,0.00036,-4.9920,0.0004
56961.529186,-18.42174,0.00036,-4.9926,0.0005
56962.513022,-18.42080,0.00037,-4.9950,0.0008
56965.514209,-18.41852,0.00038,-4.9878,0.0009
56967.478669,-18.42362,0.00036,-4.9933,0.0005
56968.449044,-18.42322,0.00039,-5.0049,0.0011
56969.503522,-18.42625,0.00035,-5.0078,0.0005
57012.362794,-18.42203,0.00035,-5.0081,0.0006
57014.384698,-18.42190,0.00036,-5.0127,0.0007
57015.331225,-18.42576,0.00051,-5.0267,0.0037
57016.408045,-18.42707,0.00037,-5.0195,0.0009
57018.377699,-18.42159,0.00035,-5.0258,0.0007
57019.384996,-18.42377,0.00035,-5.0222,0.0006
57020.365960,-18.41944,0.00035,-5.0197,0.0006
57021.437257,-18.42262,0.00037,-5.0180,0.0011
57044.337908,-18.42978,0.00036,-4.9808,0.0007
57045.329832,-18.42456,0.00037,-4.9823,0.0008
57046.318565,-18.42617,0.00038,-4.9812,0.0012
57184.696638,-18.42106,0.00042,-4.9268,0.0014
57185.713703,-18.42829,0.00036,-4.9334,0.0006
57186.712251,-18.42514,0.00036,-4.9378,0.0005
57188.708074,-18.42181,0.00037,-4.9423,0.0007
57189.700253,-18.42227,0.00036,-4.9403,0.0008
57190.714508,-18.42183,0.00036,-4.9538,0.0005
57191.714081,-18.42595,0.00036,-4.9513,0.0006
57192.712053,-18.42782,0.00036,-4.9528,0.0006
57193.710611,-18.42287,0.00037,-4.9610,0.0007
57195.715699,-18.42747,0.00037,-4.9708,0.0010
