Name,JD,RVel,e_RVel,SNR,CCD
219134,48906.71820,-24.88,8.88,256,8
219134,48934.65950,-17.49,10.79,112,8
219134,48934.68170,-23.90,9.29,122,8
219134,48935.67210,-29.51,11.97,118,8
219134,48935.69420,-26.41,10.64,118,8
219134,49172.95320,4.17,8.66,278,8
219134,49200.90410,-9.34,7.94,332,8
219134,49255.72020,0.73,9.49,167,8
219134,49298.70330,-14.48,10.03,158,8
219134,49298.72480,-31.03,8.88,152,8
219134,49587.92520,11.02,9.53,196,8
219134,49587.94700,-5.37,8.82,198,8
219134,49589.87980,-1.77,8.44,202,8
219134,49589.90120,-9.16,8.83,184,8
219134,49601.82540,-16.31,7.82,197,8
219134,49601.84710,-18.51,8.89,192,8
219134,49623.73670,-10.08,7.96,321,8
219134,49914.98340,13.48,3.55,275,13
219134,49941.85547,3.05,1.86,113,13
219134,49941.87793,4.21,1.69,113,13
219134,49983.70312,14.06,2.09,99,13
219134,49983.72559,12.00,2.18,107,13
219134,50011.72852,7.32,2.09,95,13
219134,50011.75000,0.39,2.13,102,13
219134,50048.70230,16.33,2.55,81,13
219134,50048.72538,3.51,3.95,58,13
219134,50089.60840,4.65,1.73,189,13
219134,50299.92578,5.12,1.41,233,13
219134,50326.82031,4.30,1.40,281,13
219134,50421.69727,-1.95,1.62,213,13
219134,50437.63184,-3.82,1.42,235,13
219134,50613.95410,0.32,1.52,194,13
219134,50613.96875,2.69,1.62,173,13
219134,50640.93457,1.39,1.48,247,13
219134,50640.95019,1.09,1.28,257,13
219134,50645.97656,2.60,2.04,132,13
219134,50655.94824,2.40,1.61,170,13
219134,50655.95508,3.86,1.64,164,13
219134,50657.00684,0.00,1.46,218,13
219134,50681.94727,-11.20,1.34,232,13
219134,50767.64453,2.65,1.81,161,13
219134,50793.66016,-2.90,1.56,253,13
219134,50794.70898,-5.86,2.94,80,13
219134,50979.95117,3.61,2.63,122,6
219134,50979.96582,3.22,2.90,122,6
219134,51014.96191,-0.58,2.72,134,6
219134,51044.95898,1.60,2.33,149,6
219134,51130.64844,-5.93,2.73,132,6
219134,51146.59277,3.25,3.10,126,6
219134,51364.89648,4.74,2.41,161,6
219134,51416.98828,-2.93,2.53,181,6
219134,51427.86914,-17.93,3.06,122,6
219134,51482.69336,2.07,2.90,104,6
219134,51842.68945,-4.58,2.70,151,6
219134,52128.84174,0.25,3.94,147,6
219134,52188.74805,8.02,2.87,129,6
219134,52189.73731,8.89,2.58,158,6
219134,52189.76758,-1.12,2.41,153,6
219134,52232.63574,-22.20,2.02,141,8
219134,52232.66602,-9.42,2.02,138,8
219134,52232.69629,-13.00,2.52,93,8
219134,53247.87402,-5.13,1.97,125,8
219134,53316.73047,-9.65,2.43,100,8
219134,53316.75293,-9.01,2.78,100,8
219134,53316.77539,-7.63,2.53,100,8
