Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
HD95735,2.8943518438759566,0.6277928771662322,11:03:20.195,+35:58:11.576,2014-10-21T16:27:22.420,3,0.0013636468199183962,-1.7713923286101914,FoVP,-0.505349273924991,0.7111671601585204,2456952.183770577
HD95735,2.8943518438759566,0.6277928771662322,11:03:20.195,+35:58:11.576,2014-10-21T18:13:56.622,6,-0.002533977747679486,-1.7751618977732035,FoVF,-0.5035335029026901,0.7130996902382789,2456952.257783099
HD95735,2.8943518438759566,0.6277928771662322,11:03:20.195,+35:58:11.576,2014-11-15T22:22:18.810,4,-0.0011685177932387182,2.8866761679709394,FoVP,0.6929649493042398,0.7070234012169468,2456977.432362606
HD95735,2.8943518438759566,0.6277928771662322,11:03:20.195,+35:58:11.576,2014-11-16T00:08:53.029,2,0.004028323322661397,2.884898107579185,FoVF,0.6938917772636923,0.7063144544603255,2456977.506376358
HD95735,2.8943518438759566,0.6277928771662322,11:03:20.195,+35:58:11.576,2014-12-12T17:53:56.559,3,0.002088801472030677,-2.1010359448516454,FoVF,-0.6461748148242221,0.7037521234907861,2457004.2483772486
HD95735,2.8943518438759566,0.6277928771662322,11:03:20.195,+35:58:11.576,2015-05-03T17:49:36.201,7,-0.006609757512653936,-0.13150500040326463,FoVP,0.6545568579422898,0.7185275703672813,2457146.2454768796
HD95735,2.8943518438759566,0.6277928771662322,11:03:20.195,+35:58:11.576,2015-05-03T19:36:10.429,5,-0.0014893941202981582,-0.1301896312108009,FoVF,0.6533780907302035,0.720055172065571,2457146.3194779945
HD95735,2.8943518438759566,0.6277928771662322,11:03:20.195,+35:58:11.576,2015-05-31T13:23:22.044,2,0.004367815928459941,1.1684661474186333,FoVF,-0.7149183963735065,0.7217316311844728,2457174.05817901
HD95735,2.8943518438759566,0.6277928771662322,11:03:20.195,+35:58:11.576,2015-06-27T11:31:58.668,3,0.001035117021473281,-0.47215067347420125,FoVP,0.5268244670559289,0.7250585176868392,2457200.9786323295
HD95735,2.8943518438759566,0.6277928771662322,11:03:20.195,+35:58:11.576,2015-06-27T13:18:32.913,2,0.004847156688864229,-0.47568626045314194,FoVF,0.5285480943606864,0.7231650204757372,2457201.0526343915
HD95735,2.8943518438759566,0.6277928771662322,11:03:20.195,+35:58:11.576,2015-11-01T07:23:50.576,2,0.005171201098927645,-1.7776112102282717,FoVF,-0.61585028740393,0.7091942837188602,2457327.807157523
HD95735,2.8943518438759566,0.6277928771662322,11:03:20.195,+35:58:11.576,2015-11-01T11:37:30.587,7,-0.00583870774634118,-1.7844853095665762,FoVP,-0.6127149430957597,0.7131101243993176,2457327.9833296323
HD95735,2.8943518438759566,0.6277928771662322,11:03:20.195,+35:58:11.576,2015-12-22T19:00:02.319,2,0.004803455035581733,-2.2612053554987277,FoVF,-0.5639065571823818,0.7075548823237746,2457379.295100858
HD95735,2.8943518438759566,0.6277928771662322,11:03:20.195,+35:58:11.576,2016-05-13T18:57:49.812,1,0.0034944184336556214,-0.2537572190606682,FoVP,0.704300637842713,0.7208221882589121,2457522.2919585225
HD95735,2.8943518438759566,0.6277928771662322,11:03:20.195,+35:58:11.576,2016-06-15T08:22:57.859,4,0.0012088893148018572,0.9841756403197284,FoVF,-0.636291034314847,0.722251456602973,2457554.848278197
HD95735,2.8943518438759566,0.6277928771662322,11:03:20.195,+35:58:11.576,2016-07-07T00:41:47.809,6,-0.003923231509320926,-0.4259688971690487,FoVP,0.36820442032531736,0.7264098746953249,2457576.526436697
HD95735,2.8943518438759566,0.6277928771662322,11:03:20.195,+35:58:11.576,2016-07-07T02:28:21.982,5,-0.001003907549911331,-0.43026935609158207,FoVF,0.37038781939470006,0.7245978946047057,2457576.600438615
HD95735,2.8943518438759566,0.6277928771662322,11:03:20.195,+35:58:11.576,2016-11-11T02:33:49.444,1,0.006757314908685551,-1.8187767836203081,FoVF,-0.6833021766245174,0.7087096238907725,2457703.6066676793
HD95735,2.8943518438759566,0.6277928771662322,11:03:20.195,+35:58:11.576,2016-11-11T06:47:29.472,7,-0.005479679871679959,-1.8233050155260733,FoVP,-0.6814832952353982,0.7111578000024775,2457703.782840868
HD95735,2.8943518438759566,0.6277928771662322,11:03:20.195,+35:58:11.576,2016-12-13T12:15:38.414,6,-0.004471147960266062,2.689923330732133,FoVP,0.6431161802910588,0.7056997325378369,2457736.0135766584
HD95735,2.8943518438759566,0.6277928771662322,11:03:20.195,+35:58:11.576,2016-12-13T14:02:12.637,4,6.594912421408921E-4,2.692024979174947,FoVF,0.6409271662840591,0.7072145899855641,2457736.087590146
HD95735,2.8943518438759566,0.6277928771662322,11:03:20.195,+35:58:11.576,2016-12-31T12:17:30.688,5,-0.0024724217250165067,-2.4666871616045025,FoVP,-0.45057887082634834,0.7068803246202237,2457754.0162924356
HD95735,2.8943518438759566,0.6277928771662322,11:03:20.195,+35:58:11.576,2017-04-04T11:53:52.494,7,-0.00415153986341196,0.5407630527292182,FoVF,0.27725426060496416,0.70711713671466,2457848.0005815094
HD95735,2.8943518438759566,0.6277928771662322,11:03:20.195,+35:58:11.576,2017-04-04T16:07:32.527,1,0.0033964281375039314,0.5510787441803506,FoVP,0.2687806897714058,0.7121205750951196,2457848.176728829
HD95735,2.8943518438759566,0.6277928771662322,11:03:20.195,+35:58:11.576,2017-04-04T17:54:06.662,1,0.0065254202442815495,0.5554425372923895,FoVF,0.2651810916023288,0.7141988573838346,2457848.2507306137
HD95735,2.8943518438759566,0.6277928771662322,11:03:20.195,+35:58:11.576,2017-04-16T18:00:42.153,2,0.005054682346264163,1.361445467345558,FoVF,-0.4854645233051815,0.715510666402736,2457860.254517414
HD95735,2.8943518438759566,0.6277928771662322,11:03:20.195,+35:58:11.576,2017-04-16T22:14:22.146,5,-0.0034924673323733454,1.3708294803725287,FoVP,-0.4942713788189209,0.711115119149211,2457860.430662113
HD95735,2.8943518438759566,0.6277928771662322,11:03:20.195,+35:58:11.576,2017-05-24T21:29:31.824,4,-8.87550191604182E-4,-0.348107688599208,FoVP,0.7193792537623706,0.7198161747762282,2457898.3963866984
HD95735,2.8943518438759566,0.6277928771662322,11:03:20.195,+35:58:11.576,2017-05-24T23:16:06.038,2,0.004300541036196116,-0.3488255920268228,FoVF,0.7194818373926204,0.7196994621999068,2457898.4703873172
